steps,steps_tile,tiles,moved_tiles
10305,9208,100,80
47351,44296,100,136
9481,8510,100,73
6613,5952,100,53
971,793,100,21
13275,11815,100,101
11542,10270,100,101
13836,12537,100,92
173,110,100,9
10065,8922,100,75
75548,70520,100,242
8341,7549,100,69
9006,7653,100,84
10675,9508,100,83
46919,42968,100,173
11865,10795,100,79
25834,23759,100,110
32248,29556,100,117
10614,9535,100,77
16557,14957,100,121
158,118,100,9
7636,6720,100,71
17528,15556,100,130
4054,3388,100,46
58055,53347,100,240
11200,10105,100,81
6814,6178,100,50
10383,9256,100,73
42070,39057,100,162
1297,1102,100,24
8077,7282,100,65
9931,8605,100,92
18,18,100,0
9368,8133,100,76
65662,60001,100,233
9175,8293,100,76
13151,11726,100,96
16505,14736,100,110
8543,7554,100,77
12228,10762,100,97
18,18,100,0
18503,16696,100,109
379,296,100,16
14935,13303,100,114
9782,8588,100,79
79543,72444,100,279
508,390,100,15
25914,24374,100,86
15346,13681,100,103
17890,15972,100,124
13195,11779,100,99
175553,162436,100,386
17074,14813,100,132
27582,24830,100,149
391,308,100,16
9232,8366,100,69
13273,12251,100,67
6525,5810,100,57
20543,19319,100,68
10399,9294,100,92
95,76,100,6
66667,61682,100,234
13587,12019,100,99
29296,26225,100,178
14139,12933,100,92
6274,5678,100,51
19701,16822,100,166
11030,9968,100,84
10420,9451,100,74
11385,10209,100,89
10031,9016,100,78
8452,7566,100,70
546,383,100,18
12310,11202,100,94
16183,14519,100,113
6681,5846,100,66
6164,5432,100,51
82914,76111,100,286
15084,13535,100,112
74874,68888,100,256
10617,9640,100,78
14040,12757,100,98
8482,7634,100,67
13018,11780,100,93
17105,15321,100,116
207918,190133,100,424
14377,12867,100,104
9428,8520,100,70
9936,8780,100,84
16394,14602,100,110
12101,10972,100,88
11622,10336,100,89
16587,15055,100,112
5905,4768,100,76
15256,13281,100,129
15929,13955,100,125
47317,42858,100,197
9665,8617,100,79
13282,11759,100,106
75,56,100,3
9215,8133,100,75
262132,247341,100,282
11882,10628,100,84
7289,6507,100,61
10914,9878,100,78
6955,6003,100,67
24993,21926,100,185
5437,4885,100,47
8881,7902,100,67
16343,14727,100,125
8773,7826,100,76
80429,74528,100,237
7340,6633,100,57
24484,21564,100,161
10392,9374,100,79
